Updated 3/5/2017,CPU,Blck,Core Mult,Core Freq,Cache Freq,Vcore in Bios,Vcore,Fclk,Cooler,Stability,Batch,Ram Settings,Motherboard,Additional Comments,Picture Verified?,VCCIO,SA
zinjos,6700k,100,48,4.8,4.8,1.47,1.484,,"Custom Loop, 4x120mm, Delid+IHS Reseat",x264 50 loops 16T,Malay L523B483,3000 17-18-18-36 @ 1.35v,Asus z170 Pro Gaming,LLC Level 5,Yes,,
Jpmboy,6700k,100,48,4.8,4.8,1.475,1.488,1,"Custom Loop, Delid Reseal",P95 v28.7 1hr,L539B636,3866 C18 @ 1.475v,Asus z170 Extreme,"LLC Level 4, Did 4.7 pre-delid @ 1.4v",Yes,,
Kofferkulli,6600k,100,48,4.8,4.6,1.4,1.36,1,EKL Brocken 2,x264 16T x51,Germany L545B253,XMP 2400 15-15-15-35 @ 1.2v,MSI z170 M5,"P95 v28.7, FFT size 8, for an unknown period of time",Yes,,
rx7racer,6700,141.5,34,4.8,4.5,1.435,1.416,0.566,Water Cooling,"P95 v28.9 3hr, IBT Max x10",,3000 16-16-16-36 @ 1.35v,Gigabyte z170 Gaming 5,LLC High,Yes,,
mandrix,6700k,100,48,4.8,4.5,1.43 + 0.005,1.44,1,"Custom Loop, 3x480mm, 1x240mm, Delid","x264 x32, x265 4k/x8 Overkill 18hr?",Malay L518C404,3200 15-17-17-36 @ 1.4v,Asus z170 Hero,"LLC Level 4, Did 4.7 pre-delid @ 1.4v",Yes,,
KizilejdeR,6700k,100,48,4.8,4.3,1.32,1.312,1,1 H100i GTX,OCCT 1hr,L546B905,3066 15-16-1635-2T @ 1.25v,Asus z170 Extreme,LLC Level 5,Yes,1.25,1.1125
error-id10t,6700k,100,48,4.8,4.3,1.33,1.354,1,"Custom Loop, 360mm",x264 5.5hr (x45),L526B223,3200 16-16-18-36 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,1.1,1.1
smonkie,6700k,100,48,4.8,4.2,1.37,1.4,,D15 Delid+IHS Reseat,"IBT x10, Cinebench x3",Malay L524B277,2133 15-15-15-35 @ 1.36v,Asus z170 A,LLC Level 5,Yes,,
Shremi,6700k,100,48,4.8,4.1,1.345,1.354,1,"Custom Loop, 420mm PP for CPU and SLI 980s",OCCT 1hr,,Stock @ Stock voltage,MSI z170 XPOWER Titanium Edition,LLC Auto,Yes,,
FortySIXn2,6600k,100,48,4.8,4.1,1.34,1.376,1,Hyper 212 Evo PP,x264 16T 9hr (x58),Malay L549C368,XMP 2400 16-16-16-39 @ 1.2,Asus z170 Ranger,"LLC Level 5, 63C max temp, 20C ambient",Yes,,
