cpu,bclk,core_mult,core_freq,cache_freq,vcore,fclk,batch,ram,mb
6700k,100,47,4.7,4.7,1.344,1,L602F480,2133 14-14-14 @ 1.2v,Gigabyte z170 K3
6700k,100,47,4.7,4.7,1.376,1, L523B475,3200 16-16-16-36 @ 1.35v,Asus z170 Hero
6700k,100,47,4.7,4.7,1.424,1,L523B383,3200 16-18-18-36 @ 1.35v,Asus z170 Hero
6600k,100,47,4.7,4.6,1.39,, X548B256, 3200 16-18-18-36 @ 1.35v,Asus z170 Pro Gaming
6700k,100,47,4.7,4.6,1.44,1,L535B145,2666 15-17-17-35 @ 1.2v,Asus z170 Hero
6700k,100,47,4.7,4.5,1.392,1, L519B932,3733 17-17-17-37 @ 1.38v,Asus z170 Hero
6600k,100,47,4.7,4.5,1.48,,X543B386,3333 14-16-16-36 @ 1.5v,MSI z170 M5
6600k,100,47,4.7,4.4,1.408,1,X530B513,3000 15-16-16-28,ASrock z170 Gaming K4
6600k,100,47,4.7,4.2,1.366,1, L524B274,2666 15-17-17-35 @ 1.205v,Asus z170 AR
6600k,100,47,4.7,4.2,1.444,1, L524B278,1500 7-8-8 @ 1.65v,ASRock K4/D3
6700k,100,47,4.7,4.1,1.326,1, L609F028, 2800 15-17-17-37 @ 1.35v,Asus z170 Hero
6700k,100,47,4.7,4.1,1.328,, L519B744, 3000 15-15-15-35 @ 1.35v,Asus z170 Hero
6700k,100,47,4.7,4.1,1.328,, L527B622,3200 16-16-16-35 @ 1.25v,ASRock z170 Extreme+
6700k,100,47,4.7,4.1,1.328,1, L548B846,3200 16-16-16-36 @ 1.35v,Asus z170 Deluxe
6700k,100,47,4.7,4.1,1.344,1,L538B759, 2666 16-18-18-35 @ 1.2v,MSI z170 M7
6700k,100,47,4.7,4.1,1.344,1, L547B597,3000 15-16-16-35 @ 1.35v,Asus z170 Sabertooth
6700k,100,47,4.7,4.1,1.345,,X618D002,2666 17-17-17-35 @ 1.2v,Asus z160 Sabertooth Mk I
6700k,100,47,4.7,4.1,1.363,1,L527B204,3000 14-15-15-35 @ 1.36v,Asus z170 Ranger
6700k,100,47,4.7,4.1,1.398,1,L537B115,3000 15-15-15-39 @ 1.36v,z170 Gigabyte UD5
6700k,100,47,4.7,4.1,1.408,0.8, X551C435,3200 17-18-18-38-2T @ 1.36v,Asus z170 Pro Gaming
6700k,100,47,4.7,4.1,1.408,1, L520C023, 2800 15-15-15-35 @ 1.25v,Asus z170 Pro Gaming
6700k,100,47,4.7,4.1,1.434,1,X623C611,3200 @1.41v,Asus z170 A
6700k,100,47,4.7,4.1,1.46,1, L520B631, 3200 15-17-17-35 @ 1.35v,Asus z170 Pro Gaming
6600k,100,47,4.7,4,1.488,0.8,X543B836, 3200 C16 @ 1.35v,Gigabyte z170 Gaming 5
6600k,100,47,4.7,3.9,1.424,1,Ukraine X544B730,2400 14-16-16-32 @ 1.2v,Asus z170 A
6600k,100,47,4.7,3.5,1.344,0.8,L548B508,2666 17-17-17-39 @ 1.32v,Gigabyte z170 XP SLI
6600k,136.75,34,4.65,4.51,1.44,1.093, L524B406,3100 15-17-17-35 @ 1.35v,Asus z170 A
6600k,101,46,4.646,4.646,1.488,1.01, L519B886,3000 15-16-16-35 @ 1.352v,Asus z170 Pro Gaming
6400,171,27,4.616,4.616,1.332,0.8, L524B509,3200 16-16-16-36 @ 1.35v,Gigabyte z170 D3H
6700k,100.02,46,4.6011,4.4011,1.368,1, X548C056, 3200 16-18-18-36-2T @ 1.35v,Asus z170 Hero
6600k,100,46,4.6,4.6,1.318,0.8, L519C025,2400 16-16-16-39 @ 1.2v,Gigabyte z170 M-D3H
6700k,100,46,4.6,4.6,1.344,1,,3200 15-16-16-35 @ 1.35v,Asus z170 Gene
6700k,100,46,4.6,4.6,1.376,1,, 3000 15-17-17-35 @ 1.35v,Asus z170 Extreme
6700k,100,46,4.6,4.6,1.384,,L526B258, 3200 16-18-18-36 @ 1.35v,Asus z170 Hero
6600k,100,46,4.6,4.6,1.452,1,Engineering Sample,3466 16-18-18-44 @ 1.49v,Asus z170 Extreme
6300,121.053,46,4.6,4.6,1.5,967.9,,2098 15-15-15-35 @ 1.4v,ASRock z170 OC Formula
6600k,100,46,4.6,4.5,1.312,1, L547C123, 2400 15-15-15-35,Asus z170 AR
6700k,100,46,4.6,4.5,1.392,1,Meow!,3200 16-18-18-36 @ 1.35v,Asus z170 Hero
6600k,100,46,4.6,4.4,1.375,1,L524B406,3000 15-15-15-35 @ 1.38v,MSI z170 Krait Gaming
6600k,100,46,4.6,4.4,1.416,1,China X548B047,3000 15-15-15-35,ASRock z170 X13.1
6700k,100,46,4.6,4.3,1.296,1, L537B214,3200 15-16-16-35 @ 1.384v,ASRock z170 AC
6600k,100,46,4.6,4.3,1.36,1,, 2666 15-17-17-35 @ 1.2,Asus z170 Gene
6600k,100,46,4.6,4.2,1.328,, L524B277, 3000 15-15-15-35 @ 1.35v,Asus z170 Hero
6700k,100,46,4.6,4.2,1.344,, L527B622,2800 16-16-16-37 @ 1.2v,MSI z170 M7
6700k,100,46,4.6,4.2,1.344,1,L527B283,3466 16-17-17-38 @ 1.353v,Asus z170 Gene
6600k,100,46,4.6,4.2,1.344,1,L547B504,2133 @ 1.2v,Asus z170 hero
6700k,100,46,4.6,4.2,1.344,0.8, X630B755,,LLC Level 5
6600k,100,46,4.6,4.2,1.38,1,X548C134,2400 16-16-39-2T @ 1.2v,Gigabyte z170 UD5
6700k,100,46,4.6,4.2,1.394,1,L525B417,2666 15-17-17-35 @1.2v,Asus z170 Hero
6700k,100,46,4.6,4.2,1.424,1, L5198743,3200 15-16-16-30 @ 1.353v,Asus z170 Gene
6700k,100,46,4.6,4.1,1.325,, L518B951, 3000 15-15-15-35 @ 1.35v,Asus z170 Hero
6700k,100,46,4.6,4.1,1.339,1, L530B223,2800 15-15-15-35 @ 1.35v,Asus z170 A
6700k,100,46,4.6,4.1,1.36,, L5208610, 3200 16-18-18-36 1T @1.35v,Asus z170 Hero
6700k,100,46,4.6,4.1,1.392,, L537B213,3000 15-15-15-35 @ 1.35v,Asus z170 Hero
6700k,100,46,4.6,4,1.332,0.8, L535B053,2133 15-15-15-35-2T @ 1.2v,Gigabyte z170 Gaming 7
6700k,100,46,4.6,4,1.345,, L519B892, 2666 16-18-18-35 @ 1.35v,Gigabyte z170 5
6700k,100,46,4.6,4,1.328,,  L523B541,  2666 16-18-18-35 @1.2v,Asus z170 Hero
6700k,100,46,4.6,4,1.356,0.8, L518C404,2400 15-15-15-35 @ 1.2v,Gigabyte z170 Gaming 5
6600k,100,46,4.6,3.9,1.264,1, L520B673,2600 15-17-17-35 @ 1.2v,Asus z170 Ranger
6600k,100,46,4.6,3.9,1.28,1, L549B847,3000 15-17-17-35 @ 1.35v,Asus z170 Hero
6600k,100,46,4.6,3.9,1.312,1,L603F536,2400 16-16-16 @ 1.2v,ASRock z170 Extreme 4
6600k,100,46,4.6,3.9,1.328,1,,2666 16-18-18-35 @ 1.2v,z170 MSI SLI Plus
6600k,100,46,4.6,3.9,1.352,1,L545B437,2666 16-18-18-36-2T @ 1.2v,Asus z170 Ranger
6600k,100,46,4.6,3.9,1.373,1, L549B657,2666 15-17-17-35 @ 1.2v,MSI z170 A
6600k,100,46,4.6,3.5,1.296,1,, 3000 15-17-17-35 @ 1.35v,Gigabyte z170 Sniper
6700k,190,24,4.56,4.37,1.408,,Germany,3040 15-17-17-35 @1.35v,Asus z170 A
6600k,130,35,4.55,4.16,1.408,1.04,Hungary L521B645,2800 14-15-15-39 @ 1.35v,Asus z170 Ranger
6600,136.5,33,4.504,4.504,1.344,1.091,Romania L548C127,2183 15-15-1535 @ 1.2v,Gigabyte z170 Gaming 7
6600k,100,45,4.5,4.5,1.273,1,,2400 15-15-15-35 @ 1.2012v,Asus z170 AR
6700k,100,45,4.5,4.5,1.342,,L524B416,3200 16-16-16-36 @ 1.35v,Asus z170 Hero
6600,136.45,33,4.5,4.5,1.356,1.364,,2545 15-16-16-36 @ 1.24v,Gigabyte z170 XP-SLI
6700k,100,45,4.5,4.5,1.36,,,3200 16-16-16-36 @ 1.35v,ASRock z170 K6+
6700k,100,45,4.5,4.3,1.284,1,,2400 15-15-15-35 @ 1.2v,Gigabyte z170 Gaming 5
6700k,100,45,4.5,4.1,1.296,1, L519B744,2666 14-15-15-36 @ 1.225v,Asus z170 Pro Gaming
